"Id","SuperNodeNameForMe","range_id"
814010398873588273440890766182439301008334386991,"57",26182584057226322791600556908582711391830044042
971443737368190885373848767464998826257994574614,"65",9323827167095706463897333855760807114937145899
1033555506904737990809639525867692994448175999605,"72",5343546433280091542429843790836266609450188133
1192675406022737894264300430177984503383439510595,"85",49146463416350059981395607286005780747494360401
81241504023614794527920906619657536496837086547,"6",4227769894946875669355946791571820966784313819
1377405894157051907043867381548652778728168689670,"96",9630741201162120646750540384998571360517772240
1444509067958995615328498717867303681496978785367,"99",12882623064908759596504953692898365239827936505
934467719346398967637725422294697114091578490814,"62",19109788884300845360268251060481534783348714908
305129025982814126815381031118031656858560465633,"25",9279804332591835283176196054157688578240112115
313022506135402659320422975778871183628154279518,"26",7893480152588532505041944660839526769593813885
1280541660217826865074184815229244838960923872358,"93",2440786286097864325329252163965311780517505454
1278100873931729000748855563065279527180406366904,"92",3963470034671013226965573964257127314529461853
1070870418868094057302207121975065658348138298447,"78",7338671233359758159292305578162072273250639812
495274960702200642399490507068645146326664348310,"37",10692031660496569213239779873692611854810784064
594524205176174947911305277752578321421037370567,"44",19278430997080018840204552440338681160267489496
1044394060470908838796798096003003380997930729157,"73",10838553566170847987158570135310386549754729552
1046575629790572017538468163883429976144615791306,"74",2181569319663178741670067880426595146685062149
136171721759375177124550103941143519743470394697,"9",4300397893143748206355993831705336788810977591
193934050785049320677090077022979336088286975397,"18",7266190813649467157319451075009325348937973864
328870190606391874539081665123759743909142675536,"27",15847684470989215218658689344888560280988396018
984609838103071616991422649904632173097588684552,"66",13166100734880731617573882439633346839594109938
1110488381831700323600587675180459277743922964772,"83",3933989481763328132371866506122520796416615952
787333967667635522151262270579288471057446828404,"54",25644882704470783036502707045652253948913483267
554581242996019588060258526412545918025666677937,"41",20299949218820390862835689702377123338753791325
146926807599142916810191350143262327380513756490,"10",10755085839767739685641246202118807637043361793
761689084963164739114759563533636217108533345137,"53",38733451931874750734976894612768777468168525996
646671724457039040730890144634323885286452493399,"51",4487059002190345406475972571109259444904610254
205551579479051172344436855117126258634257665567,"20",6657648075147140232542040035981853558270724341
1028211960471457899267209682076856727838725811472,"71",3604064879172175237482722998466601548072941755
1288127372750338067213031390092696848066805189855,"94",7585712532511202138846574863452009105881317497
198893931403904032111894815081144405075986941226,"19",4959880618854711434804738058165068987699965829
131871323866231428918194110109438182954659417106,"8",48105184299889134157184555967842933960032601762
442123673528232343540952589529775117170484823319,"35",12088243315172141417498709955326782224565940041
990532820108431897457410653668634335985660896728,"67",5922982005360280465988003764002162888072212176
787429346620375710729926056460736712744321282611,"55",95378952740188578663785881448241686874454207
355803894516383625117613157416278343217260842472,"31",38611062850735868922549002170870360035822057
334320369429141856763411879092105784046835481578,"28",5450178822749982224330213968346040137692806042
993550078592921898606293575036715662492257699431,"68",3017258484490001148882921368081326506596802703
1225802716235367379029592798781461148429328221242,"89",9263442181767805494423932482111791325545893784
73755471181007320301345198993796142251821802951,"4",22871032094601948276702889108579977265894197567
534281293777199197197422836710168794686912886612,"40",6237336318881980065128120502706260506768799988
1244805891575083394233213135107245216032968250671,"90",19003175339716015203620336325784067603640029429
787827814816361950649290209273856589616504342949,"56",398468195986239919364152813119876872183060338
401640562489581657831908915644195073539103229938,"32",45836667973198032714295758227916730321842387466
1410968643528219169671842335502123325883232314552,"97",33562749371167262627974953953470547155063624882
1063531747634734299142914816396903586074887658635,"77",3272322397979315318982540639565598262917419405
1216539274053599573535168866299349357103782327458,"88",10134420133878322238338569791379329971506958122
1102541066310147741012619925926760099068729238322,"81",19010831739041670602016740392332048775564126261
346449747312979394740624168405837101347889307911,"29",12129377883837537977212289313731317301053826333
1199046034542376062587178401989329350221151659380,"86",6370628519638168322877971811344846837712148785
959877258609915955036558890672169567298793462965,"63",25409539263516987398833468377472453207214972151
208136877042499753260668575996471699529796227305,"22",105637864110330226592419872392610388372221199
1050476561709111484934561361918336140860872097906,"75",3900931918539467396093198034906164716256306600
722955633031289988379782668920867439640364819141,"52",76283908574250947648892524286543554353912325742
1024607895592285724029726959078390126290652869717,"70",28458684727377215131035702425571535340391603477
1083530234571106070410603185534428050293165112061,"80",898402323885813253403062787891494165074020248
642184665454848695324414172063214625841547883145,"50",24007559469969079804999425510970640741586189422
962119910201095178909951433609238019143057428715,"64",2242651591179223873392542937068451844263965750
178156557611702259388717710483518049273845317465,"16",3840836713505915399134270122054378976436660658
833124409857643104785004560365670816897547693631,"59",7292929224621251885220074800443312963262394525
174315720898196343989583440361463670297408656807,"15",10531424132469767100607123451197182538892148395
915357930462098122277457171234215579308229775906,"61",24444191779504223500357932318813694330356177576
607648249865261928672743825907167386456457181171,"47",1916204490119412744602287708525980091887407603
1060259425236754983823932275757337987811970239230,"76",9782863527643498889370913839001846951098141324
208031239178389423034076156124079089141424006106,"21",2479659699338250689639301006952830507166340539
156107231673680130054003063016823306787441460022,"11",9180424074537213243811712873560979406927703532
890913738682593898777099238915401884977873598330,"60",57789328824950793992094678549731068080325904699
295849221650222291532204835063873968280320353518,"24",24617733055074137410253238818499742344915135444
27987897841788060972399977049878175808553329247,"0",16992569371907302875186114848979338158953757608
575245774179094929071100725312239640260769881071,"43",1951334102351608874374320444155228013891061270
418092446423802077468706058546087605728263013315,"33",16451883934220419636797142901892532189159783377
615157469429365823954430563905050560410059888866,"48",7509219564103895281686737997883173953602707695
77013734128667918858564959828085715530052772728,"5",3258262947660598557219760834289573278230969777
430035430213060202123453879574448334945918883278,"34",11942983789258124654747821028360729217655869963
505060132325503425001872053842943754501682627595,"38",9785171623302782602381546774298608175018279285
573294440076743320196726404868084412246878819801,"42",18713197080723732136467878455538494221212141864
825831480633021852899784485565227503934285299106,"58",11821081759433579458893719382788202925950912115
484582929041704073186250727194952534471853564246,"36",42459255513471729645298137665177417301368740927
1431626444894086855731993764174405316257150848862,"98",20657801365867686060151428672281990373918534310
528043957458317217132294716207462534180144086624,"39",22983825132813792130422662364518779678461459029
1143528942606387834282904822891978722635945150194,"84",33040560774687510682317147711519444892022185422
1367775152955889786397116841163654207367650917430,"95",79647780205551719184085451070957359300845727575
996149210864908508898691256652818590950261266240,"69",2599132271986610292397681616102928458003566809
1106554392349936995468215808674336756947506348820,"82",4013326039789254455595882747576657878777110498
83766139566342294761009554141595248994626815344,"7",2524635542727500233088647521937712497789728797
355765283453532889248690608414107472857225020415,"30",9315536140553494508066440008270371509335712504
1206404853919721251296830296507970027132275369336,"87",7358819377345188709651894518640676911123709956
1274137403897057987521889989101022399865876905051,"91",29331512321974593288676853993777183832908654380
163784296765726576888976316910266487758516508412,"14",1143881671716304675227878536930466252556317203
602050307764596453688204158677765110089567285211,"45",7526102588421505776898880925186788668529914644
35715797883037150162744406244063906320799746390,"1",7727900041249089190344429194185730512246417143
36358603649965451745921079191368714339916560481,"2",642805766928301583176672947304808019116814091
1082631832247220257157200122746536556128091091813,"79",11761413379126199854993000771470897779952793366
186667859971399853519770625947970010739349001533,"17",8511302359697594131052915464451961465503684068
605732045375142515928141538198641406364569773568,"46",3681737610546062239937379520876296275002488357
271231488595148154121951596245374225935405218074,"23",63094611552648400861283020248902526405608990769
158467223826476820150303651742634637993936775339,"12",2359992152796690096300588725811331206495315317
50884439086405372024642309885216164985927605384,"3",14525835436439920278721230693847450646011044903
162640415094010272213748438373336021505960191209,"13",4173191267533452063444786630701383512023415870
618177105984879615519414746552243985099961693723,"49",3019636555513791564984182647193424689901804857
